item_name,min_jac,num_nodes,num_faces,num_tets,volume(mm3),mass(kg),surface_area(mm2),CG_x(mm),CG_y(mm),CG_z(mm),I_xx(kg*mm2),I_yy(kg*mm2),I_zz(kg*mm2),I_xy(kg*mm2),I_yz(kg*mm2),I_zx(kg*mm2),I_1(kg*mm2),I_2(kg*mm2),I_3(kg*mm2),abs_max_ver_xdisp(mm),abs_max_ver_ydisp(mm),abs_max_ver_zdisp(mm),abs_max_ver_magdisp(mm),max_ver_stress(MPa),min_ver_stress(MPa),abs_max_hor_xdisp(mm),abs_max_hor_ydisp(mm),abs_max_hor_zdisp(mm),abs_max_hor_magdisp(mm),max_hor_stress(MPa),min_hor_stress(MPa),abs_max_dia_xdisp(mm),abs_max_dia_ydisp(mm),abs_max_dia_zdisp(mm),abs_max_dia_magdisp(mm),max_dia_stress(MPa),min_dia_stress(MPa),abs_max_tor_xdisp(mm),abs_max_tor_ydisp(mm),abs_max_tor_zdisp(mm),abs_max_tor_magdisp(mm),max_tor_stress(MPa),min_tor_stress(MPa),1st_mode_freq(Hz),2nd_mode_freq(Hz)
102_38,0.22299129,197514,32816,122953,231242,1.03365,44323.5,8.85545,-67.6996,19.2883,2420.22,679.003,2780.08,-162.641,30.8382,54.4369,2788.16,2427.81,663.338,0.190516517,0.10954345,0.324135542,0.363425165,992.0244751,-689.2808838,0.248218656,0.027865069,0.193659261,0.285016567,536.3251953,-534.9873047,0.053157222,0.106591113,0.157522842,0.189722657,504.252594,-283.0690918,0.108898729,0.090278357,0.072536282,0.143044502,287.0178528,-300.3371277,2769.684051,3576.630902
102_79,0.351884149,221650,35004,139247,461329,2.06214,49638.3,19.5818,-68.7122,18.504,4198.64,1483.84,5024.6,-234.259,26.3811,69.7673,5030.46,4213.13,1463.48,0.12085706,0.052178618,0.189038187,0.215407446,787.0697021,-564.8899536,0.13361901,0.012150705,0.117044546,0.166381627,430.7419739,-433.848938,0.026354421,0.046268504,0.090855382,0.101352185,381.4284973,-262.2656555,0.058518033,0.080882661,0.042185687,0.098963864,270.4137573,-268.8428955,6136.716027,6989.519067
107_113,0.365524464,229808,35946,144734,367383,1.6422,49910.4,19.4959,-70.2765,20.2774,3104.84,1301.66,3859.65,-134.57,17.4454,79.3324,3867.9,3106.79,1291.46,0.162948608,0.054308224,0.254604131,0.283807993,898.0460815,-614.7752075,0.167559594,0.015505057,0.155497223,0.209749207,495.9932861,-503.7781067,0.044887535,0.041901659,0.116267696,0.123007707,444.9945984,-288.6859131,0.0585058,0.083128937,0.040750299,0.099575311,258.1862183,-248.5065918,5247.768154,5427.227411
107_147,0.224777389,199727,32160,125040,277302,1.23954,44204.8,14.6693,-71.501,20.0625,2610.94,794.907,3010.77,-103.363,-4.14583,68.3583,3022.34,2605.24,789.043,0.266540915,0.064411066,0.394378453,0.443394572,1303.07019,-667.2055664,0.282445043,0.026512237,0.265351087,0.352620155,532.593811,-719.385437,0.044196147,0.042581987,0.157424644,0.162484586,648.9127197,-382.7927551,0.065215133,0.092788577,0.044675115,0.111774638,451.5338745,-452.0192261,3744.199995,4209.307793
107_150,0.215769162,325387,50820,205198,395560,1.76816,66782.4,22.086,-69.4121,21.4884,3876.46,1515.86,4760.14,-194.772,15.7706,34.3946,4761.49,3891.17,1499.79,0.122772992,0.082542792,0.236060247,0.260163307,885.7098389,-541.3118286,0.132279754,0.015435892,0.103173658,0.158379927,417.5814819,-401.9413147,0.071533598,0.079977714,0.13949275,0.159578264,518.4484863,-254.1552582,0.063489236,0.088704556,0.041887719,0.104872994,379.448761,-292.3579407,4979.195913,5496.196687
107_186,0.245429492,273651,41822,173169,446363,1.99524,55380.8,21.0929,-68.9926,20.3582,4210.81,1498.26,5042.64,-198.319,50.8076,70.2689,5048.87,4219.88,1482.96,0.128406644,0.052875225,0.205516681,0.231483147,743.3685303,-528.5968018,0.136750728,0.013165779,0.122511968,0.170477465,427.6706848,-425.2290955,0.037758626,0.048963882,0.100298792,0.110715069,354.7791443,-347.1894836,0.057573743,0.079799011,0.039419003,0.095342949,263.7304688,-257.3770142,5575.696348,6344.699029
107_233,0.361499313,236609,36954,148995,505443,2.25933,52674,20.9575,-69.4926,20.0531,4612.13,1706.68,5548.8,-206.885,24.6217,17.9405,5549.26,4626.5,1691.85,0.103262663,0.036555488,0.166765541,0.187287733,657.0786133,-524.9033203,0.115289554,0.010170948,0.100087978,0.143689513,401.6630249,-382.5644226,0.026438085,0.032445502,0.083342686,0.087402746,486.3010559,-269.1819153,0.057564277,0.086480111,0.039155364,0.100416943,264.9320679,-286.7624817,6624.244374,7299.200918
107_240,0.284750434,208405,33062,130795,333212,1.48946,46565.5,19.1623,-69.9637,16.8462,3060.37,1021.74,3607.87,-148.725,18.0593,89.0129,3621.99,3057.28,1010.72,0.255482405,0.051759679,0.380677402,0.429295301,1076.947266,-808.5090332,0.284530461,0.031370103,0.260766119,0.352536917,555.7161255,-559.4465332,0.032835625,0.029013298,0.153351158,0.155853584,559.8583374,-458.2746582,0.071902961,0.111817844,0.047810841,0.131485894,263.4377747,-273.6181641,3836.348766,5237.965094
107_248,0.366006574,206054,32382,129554,432133,1.93163,47104.4,20.2268,-70.4448,19.1103,3302.29,1434.22,4028.54,-130.062,20.646,22.2765,4029.33,3310.7,1425.02,0.144216254,0.040935598,0.217580929,0.245396808,886.0490723,-666.5395508,0.15625459,0.015323638,0.143460721,0.197355673,526.6358032,-549.6386719,0.027521763,0.034516077,0.095766336,0.09988609,389.4460449,-293.5794983,0.059221853,0.086679362,0.040820353,0.101771295,265.1841125,-255.825943,6935.855215,7436.190786
107_291,0.367028357,211839,33850,132799,362012,1.61819,46768.2,14.7668,-69.9407,17.0255,3505.91,1029.29,4087.94,-143.724,9.47752,83.3222,4099.67,3502.56,1020.91,0.1639902,0.047712281,0.243385211,0.275587499,870.9191284,-632.2888794,0.196870267,0.016840843,0.169642076,0.238246351,458.4483032,-484.7025757,0.02708045,0.038924526,0.099816814,0.105901435,434.3027039,-323.2958374,0.068127178,0.079778537,0.045897376,0.104220003,296.8904724,-276.409729,4969.392852,5831.904084
107_320,0.366127417,210675,33526,132261,266471,1.19113,45289.4,12.6072,-69.4268,24.1327,2604.65,814.497,2963.44,-131.203,15.4369,3.34962,2963.57,2614.2,804.818,0.151686698,0.070934229,0.279359758,0.301377535,843.5512085,-590.4543457,0.156409472,0.016735943,0.131701738,0.188390672,471.1190491,-425.4981995,0.083715998,0.071850426,0.15445298,0.167159751,452.4086914,-235.7929535,0.064400442,0.087478861,0.043155055,0.106732905,264.3730164,-267.5601196,3306.57239,3975.077887
107_342,0.264263271,205599,33784,128185,298623,1.33484,45433.9,15.463,-70.9765,22.33,2515.76,873.116,2881,-85.3889,11.8842,24.6586,2882.68,2518.6,868.604,0.19308345,0.060429405,0.297290683,0.331402183,1173.426392,-638.0662842,0.197339267,0.014533791,0.18394962,0.246229991,516.1603394,-642.8994141,0.054796681,0.051145565,0.132510155,0.141129509,556.9781494,-278.1365051,0.061363462,0.083521366,0.042627946,0.101098157,256.4953613,-262.0930786,3981.592179,5419.35334
107_459,0.349053625,206544,33232,129355,313995,1.40356,45285,16.9324,-71.359,19.7785,2960.88,817.227,3271.76,-138.827,9.87611,84.4666,3293.48,2948.21,808.178,0.19941701,0.033884495,0.314331055,0.344660163,795.5498047,-679.2958984,0.196465448,0.017145639,0.191823021,0.251253188,451.728241,-448.6413879,0.046875872,0.02675188,0.141280532,0.143443361,384.4320984,-370.6828308,0.06450364,0.096294016,0.039498884,0.114326023,283.3883362,-268.7254639,5427.480394,5975.028771
107_91,0.365030259,190331,30954,118861,261911,1.17074,42882.8,13.9776,-70.9836,24.3041,2720.12,762.845,3084.77,-108.466,10.1124,42.4813,3089.66,2721.29,756.786,0.181354016,0.088219255,0.310146332,0.34105283,911.786438,-559.4476318,0.176385328,0.013436375,0.161097437,0.218137383,481.4766235,-497.2564392,0.063284867,0.075889565,0.158945337,0.174206376,566.9972534,-519.0634155,0.06566678,0.082447007,0.048123743,0.104926378,427.3871765,-354.8743896,2703.181352,3899.531074
107_95,0.323706614,190619,32274,118064,285775,1.27742,43800.9,21.2518,-71.6336,22.9076,2744.93,797.76,3093.6,-131.506,-10.2377,95.7689,3118.97,2728.41,788.912,0.226556033,0.063723788,0.396695971,0.42350173,831.1638794,-589.2667236,0.193679482,0.012887164,0.196340218,0.252419233,515.3444214,-514.0667114,0.056337893,0.0527675,0.207029,0.212058932,409.8390808,-334.3933105,0.072750181,0.118601374,0.05709298,0.140420571,292.2731018,-260.7853699,3906.614576,4723.557387
113_129,0.365224729,236193,37258,148579,298223,1.33306,50131.5,15.5241,-70.8564,20.4821,2759.27,960.103,3279.17,-126.471,16.0278,56.3479,3285.21,2762.25,951.086,0.225211799,0.06848979,0.348810792,0.385331094,1016.766479,-651.5241089,0.236605629,0.023101637,0.218303114,0.292422622,538.3165894,-576.7497559,0.060334209,0.051997125,0.150204062,0.158355445,540.9575195,-309.3987427,0.059523717,0.085553244,0.040663004,0.102494687,264.9493103,-244.7077637,3492.925412,4144.228119
113_170,0.2417148,254021,39564,160178,384158,1.71719,54524.7,21.9961,-69.4846,23.2747,3753.21,1372.95,4624.65,-164.663,30.0042,30.9371,4625.92,3763.58,1361.3,0.157531738,0.081011847,0.270795465,0.300153047,779.2523804,-526.6057739,0.149152264,0.01997217,0.139790148,0.190298572,450.962616,-421.387085,0.047891706,0.06889981,0.142101377,0.156717196,416.9604797,-244.6386261,0.060079504,0.084370576,0.045545261,0.102647223,264.4584351,-249.703949,4056.696274,5056.134128
113_345,0.34630619,234149,36306,147759,344392,1.53943,51344.7,19.851,-69.8904,18.512,3146.92,1234,3891.49,-149.374,22.1184,78.4467,3899.68,3150.62,1222.11,0.24136357,0.058608253,0.372144938,0.415454417,1126.841431,-724.992981,0.253518134,0.029865742,0.239934459,0.319043666,582.5863037,-620.0325317,0.038450263,0.036621988,0.157333761,0.160875335,579.0946045,-358.4206848,0.060721353,0.090464517,0.04052373,0.107389517,262.8460388,-402.8111572,3369.659829,4620.656871
113_390,0.343930764,198740,32120,124337,246969,1.10395,45643.2,15.6055,-70.3052,20.8476,2416.7,843.773,2851.11,-112.417,17.8671,39.8833,2854.77,2421.25,835.567,0.308323652,0.080462769,0.467287183,0.521198094,1325.578979,-827.3864136,0.289295822,0.03608723,0.290649414,0.373089761,642.7302246,-756.3764648,0.073303483,0.051210973,0.201327339,0.208477795,645.4224243,-340.3705139,0.069460563,0.105422117,0.046519816,0.125074923,391.7208862,-409.7502136,2523.775853,3407.796898
113_472,0.337731804,207375,33618,129632,305850,1.36715,45416.4,18.5316,-70.9841,19.9012,2364.94,938.488,2843.82,-121.857,3.6454,81.499,2857.45,2361.71,928.095,0.216369048,0.064684696,0.33904472,0.376604617,1028.61792,-714.7815552,0.215834796,0.018040614,0.204476818,0.272591174,626.9606934,-582.9047852,0.059252914,0.05163544,0.153304502,0.161216125,520.8012085,-328.2897339,0.067575872,0.109573603,0.048023771,0.12635915,315.9095459,-319.0332642,5308.98985,5477.760608
113_86,0.293112776,249986,38666,157778,463197,2.07049,52800.5,20.2772,-69.7646,20.26,4014.21,1576.71,4906.21,-182.676,21.5355,20.7398,4906.78,4027.41,1562.94,0.114080831,0.045163587,0.187202275,0.209036112,704.3640747,-538.1054077,0.124608465,0.012074105,0.110257119,0.156734243,424.3945007,-405.4194336,0.03230112,0.038940474,0.092853084,0.099790916,351.0054016,-250.3497467,0.058326069,0.08603885,0.040530834,0.100418523,270.6654053,-255.9910431,6360.415549,7066.2043
113_95,0.362544446,212909,33626,133847,298517,1.33437,47977.7,21.4669,-70.856,21.1623,2725.74,1016.82,3320.02,-125.562,10.669,108.61,3339.31,2715.79,1007.5,0.240112111,0.07596381,0.384281039,0.423887104,925.3043823,-614.163269,0.221791714,0.025352955,0.220378071,0.285475254,568.4865723,-524.7613525,0.046953309,0.055373687,0.179520905,0.187826276,463.176239,-270.2349243,0.067697801,0.106205814,0.051593862,0.125959769,340.3413696,-449.0486755,3693.318948,4249.784948
114_202,0.372865167,158356,26524,98305,173724,0.776547,37806.5,11.5509,-69.4882,18.4385,1986.9,564.487,2277.35,-103.687,20.5737,107.179,2312.71,1959.52,556.502,0.423661947,0.069351688,0.539314449,0.627376437,1375.775391,-842.7755127,0.487908661,0.047361251,0.442750365,0.593977451,817.2181396,-919.7172241,0.025286641,0.027218556,0.154166728,0.15669629,592.3370972,-329.8779297,0.107376046,0.06474255,0.084923528,0.13519457,396.2546082,-279.6068726,1680.861256,2272.943989
114_28,0.36902111,184824,29618,115766,308368,1.3784,42096,13.9705,-70.3325,15.5225,2534.96,900.97,3026.12,-123.762,17.5082,99.0016,3045.34,2525.35,891.359,0.256573588,0.072730675,0.347787082,0.403772295,1152.328979,-863.1276855,0.306943268,0.025616225,0.266961128,0.372479558,677.0161133,-718.0300293,0.031424064,0.061977722,0.126948699,0.139362797,578.9691772,-431.6932678,0.075795047,0.090473853,0.050019026,0.117625311,306.7173157,-379.8196716,4955.731812,5730.110366
114_319,0.344920827,211623,33868,132764,251821,1.12564,48890.4,17.7796,-68.5707,17.0537,2615.27,905.008,3167.33,-139.289,28.8848,92.9448,3182.57,2611.87,893.158,0.335808694,0.068384245,0.498476237,0.558994114,1307.389893,-879.8166504,0.325736225,0.040455177,0.325281799,0.419835269,699.3719482,-738.4778442,0.058722541,0.03331406,0.202642754,0.206701532,641.5968018,-391.1227722,0.08630459,0.113745086,0.057047591,0.141159803,460.6635132,-443.3607178,3015.854718,3062.295927
114_456,0.370050907,190969,31582,118945,207648,0.928186,45406.4,16.2158,-68.9889,18.4555,2066.88,752.775,2428.45,-108.999,34.0413,115.407,2462.14,2043.28,742.672,0.415345371,0.107094564,0.573631346,0.657535315,1697.939209,-1043.914063,0.415500551,0.050877437,0.40540427,0.531456769,954.0030518,-1048.930054,0.058378413,0.085246511,0.211035207,0.226698086,724.1577759,-421.3098755,0.073258229,0.087174214,0.056333717,0.116208307,434.3095398,-396.972229,2797.249625,2966.57062
114_525,0.303512532,266509,40790,168728,344125,1.53824,56736.1,18.4615,-69.4986,18.0082,3248.93,1192.45,3956.87,-160.449,35.0482,90.6984,3968.38,3250.49,1179.37,0.197312534,0.064836532,0.298813611,0.336525261,1060.536743,-682.6660156,0.207662448,0.022741741,0.190594092,0.258162081,532.043335,-583.012207,0.04371604,0.052608829,0.129679054,0.138991296,501.0407104,-303.2322083,0.060477696,0.08790791,0.042218588,0.10547968,382.2062073,-422.4396362,4268.189403,4858.238792
114_91,0.33259784,175194,28526,109436,204395,0.913646,39917.2,12.1885,-69.7477,19.7169,2254.95,664.327,2590.87,-124.096,18.9005,91.2685,2614.15,2241.64,654.356,0.327271789,0.095450915,0.462236077,0.526161075,1370.065308,-750.4866333,0.328644246,0.03680782,0.315920651,0.414465487,614.4824219,-845.3679199,0.045723058,0.061399218,0.177242085,0.187477469,744.2354126,-484.4544983,0.092309877,0.103744112,0.068961889,0.141609326,744.1765747,-612.3950806,1719.026785,2756.728199
116_102,0.219941771,225262,35896,141516,278659,1.24561,49282,13.4264,-67.2054,16.4899,2666.9,814.405,3056.45,-130.475,44.1625,82.3842,3073.29,2660.3,804.158,0.276299804,0.075854607,0.407122463,0.459759861,1275.224854,-911.0275879,0.319579631,0.033490278,0.286116719,0.391873538,649.2421875,-743.0463867,0.036996223,0.05512305,0.155547768,0.160239473,621.7910767,-435.9109802,0.073076747,0.095037162,0.049495947,0.11962413,270.8816833,-253.5344238,3935.865644,5041.80901
116_113,0.36782046,224078,35770,140598,316763,1.41593,50020.3,17.6789,-70.3652,18.7374,2655.7,1133.01,3297.31,-118.952,17.8348,71.0027,3305.09,2657.41,1123.53,0.257954359,0.056985117,0.384514511,0.431129813,1283.301147,-800.8041992,0.275385499,0.029037753,0.258455694,0.344116718,648.1782837,-707.5002441,0.046862647,0.034910817,0.153249711,0.156831041,622.49646,-329.5882568,0.061558854,0.094525017,0.041582085,0.109343544,248.7108917,-307.4660034,3454.535362,4528.697837
116_30,0.348437772,152853,26064,94497,173452,0.775331,35757.3,9.83284,-70.6046,20.1707,1714.95,502.995,1918.45,-84.6545,11.6649,80.6668,1946.74,1692.74,496.9,0.441335618,0.10205403,0.58005023,0.669410527,1462.932373,-896.0543823,0.470562279,0.039882928,0.440756589,0.582665861,754.3650513,-963.6025391,0.050469048,0.068371616,0.188115165,0.199489221,605.7966309,-306.1543274,0.097977743,0.110668115,0.073538698,0.150805324,310.0890503,-310.2019958,2054.221893,2993.959107
116_348,0.361909344,193268,31224,120895,297276,1.32882,44862.7,14.7702,-69.164,21.9515,3353.94,874.986,3747.91,-155.069,40.7391,76.5691,3762.32,3349.92,864.607,0.210787952,0.067228355,0.308048338,0.347575575,914.0727539,-586.6838989,0.21226795,0.024850728,0.199673504,0.264566362,506.1289063,-557.2651978,0.042029895,0.050668728,0.12979871,0.138051257,426.9649658,-235.6949768,0.054280877,0.081263416,0.040834803,0.097214408,245.9485016,-304.7452393,2777.014211,4120.384546
116_440,0.366121707,176577,28720,110282,222561,0.994846,41901.7,11.2715,-69.531,16.7655,2414.71,660.252,2712.62,-117.682,27.6519,102.381,2744.45,2391.31,651.817,0.444207788,0.123031601,0.58502084,0.686024666,1594.106689,-1023.488647,0.566541135,0.055913445,0.487259179,0.678512335,863.8789063,-1038.621582,0.047772776,0.073711835,0.172424808,0.188580021,739.5488281,-447.9190369,0.111861825,0.085147731,0.081591591,0.147764623,285.735321,-270.5938416,2351.921874,3177.140365
116_61,0.362779878,213808,33516,134511,364300,1.62842,47536.3,18.1411,-69.5198,15.9704,3503.76,1115.91,4137.9,-170.881,23.5696,97.2743,4152.49,3501.65,1103.44,0.207113877,0.045819707,0.307328194,0.346035391,1096.463745,-760.3843994,0.240463495,0.025951846,0.214212477,0.294155896,519.5664673,-554.0304565,0.02889034,0.028205741,0.122461364,0.125218943,560.065979,-393.2431335,0.068829142,0.09965086,0.047778115,0.119950458,326.9909058,-264.6949463,4225.055936,5593.499971
119_221,0.251451319,260275,41890,163110,316322,1.41396,55097.5,19.2178,-70.661,16.9179,2905.86,1123.43,3595.86,-149.604,10.4475,86.4258,3606.55,2907.77,1110.84,0.279203534,0.076315284,0.427452147,0.479625791,1261.079956,-865.621521,0.298289597,0.03660151,0.272476584,0.370389372,636.9042358,-717.0237427,0.06108043,0.049936872,0.182965592,0.189026877,619.0202637,-414.0085144,0.07068114,0.106329538,0.047507573,0.126513615,354.8887024,-292.3644104,3567.713279,4484.331082
119_322,0.265435766,223170,35034,140502,297084,1.32796,49226.9,16.2582,-69.8306,19.2928,2814.7,965.814,3302.16,-141.263,27.2259,41.15,3305.72,2822.27,954.693,0.251980603,0.060224347,0.37964505,0.425699115,1160.994873,-824.4393311,0.249621823,0.031272106,0.240491837,0.317606419,853.6530151,-673.3896484,0.04862202,0.044306029,0.161906302,0.167589471,701.5945435,-510.0343628,0.065762274,0.09747868,0.043522496,0.114468001,530.1137695,-577.019104,3426.359468,4716.853358
119_559,0.246453062,244209,38798,153319,346940,1.55082,52107.2,16.3271,-69.5296,21.9084,3580.9,1107.2,4217.42,-183.341,21.8208,39.2077,4219.86,3592.16,1093.49,0.146556646,0.061070491,0.259146243,0.281193286,762.8912354,-548.9327393,0.145115346,0.017125724,0.128456861,0.178958356,449.9842224,-414.0792236,0.065766767,0.053321924,0.138562828,0.147302449,403.0228577,-275.1419983,0.061925683,0.086247593,0.042692862,0.104892842,271.2245789,-250.0657959,3662.613232,4624.641341
12_102,0.363967147,191281,30678,119877,254035,1.13554,42193.6,10.6032,-69.5651,15.7613,2272.61,691.962,2594.35,-122.105,15.5725,82.3739,2614.31,2262.28,682.336,0.273287833,0.062262353,0.369794637,0.427692175,1153.697266,-892.2802124,0.332361192,0.025302427,0.286147714,0.399005532,681.3249512,-741.7297363,0.033506285,0.04357544,0.128957629,0.137274146,573.9796143,-392.5115662,0.089756005,0.110899486,0.060282744,0.142873093,455.7190247,-443.6607971,4970.05693,5552.83308
